Datetime,Open,High,Low,Close,Volume,DollarValue
2024-03-06 11:46:00-05:00,511.12,511.27,511.065,511.2165,71983,36795423.6653
2024-03-06 11:47:00-05:00,511.21,511.22,511.125,511.1599,63681,32552768.9144
2024-03-06 11:48:00-05:00,511.155,511.24,511.155,511.17,40218,20557933.6705
2024-03-06 11:49:00-05:00,511.18,511.24,511.15,511.21,31003,15848578.339
2024-03-06 11:50:00-05:00,511.22,511.62,511.22,511.53,258211,132042650.125
2024-03-06 11:51:00-05:00,511.52,511.59,511.36,511.455,137108,70129026.4763
2024-03-06 11:52:00-05:00,511.49,511.55,511.45,511.54,328710,168140095.4494
2024-03-06 11:53:00-05:00,511.53,511.57,511.5,511.562,163479,83627029.3921
2024-03-06 11:54:00-05:00,511.56,511.6,511.39,511.5,172752,88367830.3491
2024-03-06 11:55:00-05:00,511.51,511.64,511.3831,511.46,436419,223221772.4814
2024-03-06 11:56:00-05:00,511.46,511.56,511.44,511.47,83292,42600942.475
2024-03-06 11:57:00-05:00,511.47,511.49,511.31,511.43,96029,49114031.7569
2024-03-06 11:58:00-05:00,511.4191,511.47,511.35,511.38,57364,29335923.866
2024-03-06 11:59:00-05:00,511.38,511.45,511.18,511.2159,81527,41684588.6524
2024-03-06 12:00:00-05:00,511.22,511.41,511.22,511.32,132740,67865980.3671
2024-03-06 12:01:00-05:00,511.2999,511.45,511.28,511.45,101531,51920410.4773
2024-03-06 12:02:00-05:00,511.4599,511.48,511.2,511.25,151267,77351129.2143
2024-03-06 12:03:00-05:00,511.25,511.28,511.12,511.15,105124,53739388.4792
2024-03-06 12:04:00-05:00,511.15,511.39,511.15,511.38,66817,34161193.4642
2024-03-06 12:05:00-05:00,511.375,511.49,511.19,511.2,124240,63522359.7583
2024-03-06 12:06:00-05:00,511.23,511.275,511.11,511.23,80301,41052281.1122
2024-03-06 12:07:00-05:00,511.22,511.32,511.1988,511.29,96331,49249705.8754
2024-03-06 12:08:00-05:00,511.285,511.49,511.28,511.49,90745,46405858.4106
2024-03-06 12:09:00-05:00,511.4893,511.62,511.38,511.48,134465,68776783.4163
2024-03-06 12:10:00-05:00,511.47,511.8,511.47,511.71,234237,119833305.9722
2024-03-06 12:11:00-05:00,511.71,511.82,511.68,511.76,124374,63646528.9659
2024-03-06 12:12:00-05:00,511.77,511.92,511.77,511.835,131659,67383404.0618
2024-03-06 12:13:00-05:00,511.84,511.87,511.76,511.81,83560,42768096.745
2024-03-06 12:14:00-05:00,511.83,511.91,511.79,511.884,124189,63567008.306
2024-03-06 12:15:00-05:00,511.88,511.92,511.79,511.815,94147,48188906.9273
2024-03-06 12:16:00-05:00,511.82,511.91,511.7799,511.91,89031,45571853.3041
2024-03-06 12:17:00-05:00,511.91,511.915,511.8201,511.83,51427,26323938.2389
2024-03-06 12:18:00-05:00,511.82,511.84,511.72,511.74,89448,45777697.3308
2024-03-06 12:19:00-05:00,511.74,511.76,511.65,511.7288,71198,36434465.1176
2024-03-06 12:20:00-05:00,511.74,511.76,511.6586,511.705,67994,34794058.8765
2024-03-06 12:21:00-05:00,511.71,511.81,511.695,511.81,78109,39973061.4109
2024-03-06 12:22:00-05:00,511.81,511.83,511.71,511.76,106208,54355661.6689
2024-03-06 12:23:00-05:00,511.76,511.795,511.67,511.76,157025,80359115.5334
2024-03-06 12:24:00-05:00,511.75,511.78,511.73,511.75,40432,20691076.0
2024-03-06 12:25:00-05:00,511.75,511.848,511.75,511.82,107772,55156093.4147
2024-03-06 12:26:00-05:00,511.815,511.915,511.79,511.83,110407,56508786.151
2024-03-06 12:27:00-05:00,511.83,511.85,511.715,511.7399,72369,37037364.513
2024-03-06 12:28:00-05:00,511.7599,511.83,511.7131,511.7599,36735,18799499.4745
2024-03-06 12:29:00-05:00,511.75,511.785,511.6801,511.76,62322,31893595.4143
2024-03-06 12:30:00-05:00,511.77,511.89,511.73,511.88,43477,22252615.3923
2024-03-06 12:31:00-05:00,511.875,512.05,511.875,511.99,139277,71300422.1224
2024-03-06 12:32:00-05:00,511.995,512.069,511.965,512.0,67679,34651478.6373
2024-03-06 12:33:00-05:00,512.0,512.0,511.8024,511.8279,88633,45372469.6345
2024-03-06 12:34:00-05:00,511.82,511.85,511.72,511.77,81143,41528581.5364
2024-03-06 12:35:00-05:00,511.77,511.865,511.75,511.765,89212,45655802.3734
2024-03-06 12:36:00-05:00,511.78,511.82,511.7,511.79,153900,78763712.0636
2024-03-06 12:37:00-05:00,511.8,511.87,511.78,511.87,89484,45801042.3754
2024-03-06 12:38:00-05:00,511.88,511.89,511.72,511.76,123932,63430877.1477
2024-03-06 12:39:00-05:00,511.7577,511.794,511.68,511.73,59451,30423683.6684
2024-03-06 12:40:00-05:00,511.73,511.78,511.61,511.67,67431,34504443.5231
2024-03-06 12:41:00-05:00,511.68,511.7,511.545,511.58,93100,47632752.034
2024-03-06 12:42:00-05:00,511.58,511.59,511.48,511.5113,70429,36027647.8118
2024-03-06 12:43:00-05:00,511.52,511.63,511.5,511.63,69837,35726863.0619
2024-03-06 12:44:00-05:00,511.63,511.67,511.565,511.64,60760,31086943.1934
2024-03-06 12:45:00-05:00,511.5,511.68,511.48,511.5,154130,78837495.0
2024-03-06 12:46:00-05:00,511.5,511.51,511.32,511.34,144486,73893029.8554
2024-03-06 12:47:00-05:00,511.3211,511.4,511.29,511.37,142249,72738393.2184
